date,demand
2018-12-01,1849
2018-12-02,1442
2018-12-03,1655
2018-12-04,1724
2018-12-05,1391
2018-12-06,1483
2018-12-07,1422
2018-12-08,1532
2018-12-09,1305
2018-12-10,1483
2018-12-11,1534
2018-12-12,1413
2018-12-13,1440
2018-12-14,1367
2018-12-15,1332
2018-12-16,1154
2018-12-17,1260
2018-12-18,1343
2018-12-19,1310
2018-12-20,1479
2018-12-21,1161
2018-12-22,1283
2018-12-23,1275
2018-12-24,968
2018-12-25,2080
2018-12-26,1429
2018-12-27,1443
2018-12-28,1623
2018-12-29,1504
2018-12-30,1454
2018-12-31,1357
2019-01-01,1116
2019-01-02,1261
2019-01-03,1510
2019-01-04,1345
2019-01-05,1111
2019-01-06,806
2019-01-07,1335
2019-01-08,1389
2019-01-09,1434
2019-01-10,1430
2019-01-11,1401
2019-01-12,1462
2019-01-13,1827
2019-01-14,2061
2019-01-15,1653
2019-01-16,1436
2019-01-17,1813
2019-01-18,2077
2019-01-19,1589
2019-01-20,1149
2019-01-21,1452
2019-01-22,1634
2019-01-23,1897
2019-01-24,2320
2019-01-25,2909
2019-01-26,2526
2019-01-27,2223
2019-01-28,1558
2019-01-29,1620
2019-01-30,1626
2019-01-31,1550
2019-02-01,1560
2019-02-02,1722
2019-02-03,1829
2019-02-04,2130
2019-02-05,2655
2019-02-06,2445
2019-02-07,2132
2019-02-08,1641
2019-02-09,1845
2019-02-10,1886
2019-02-11,2680
2019-02-12,3128
2019-02-13,2606
2019-02-14,3154
2019-02-15,2397
2019-02-16,1914
2019-02-17,1396
2019-02-18,1425
2019-02-19,1477
2019-02-20,1550
2019-02-21,1476
2019-02-22,1951
2019-02-23,1799
2019-02-24,1778
2019-02-25,1472
2019-02-26,1626
2019-02-27,1418
2019-02-28,1625
2019-03-01,1723
2019-03-02,1615
2019-03-03,1964
2019-03-04,2820
2019-03-05,3189
2019-03-06,3290
2019-03-07,2875
2019-03-08,2079
2019-03-09,1559
2019-03-10,1863
2019-03-11,1950
2019-03-12,2244
2019-03-13,2139
2019-03-14,1519
2019-03-15,1711
2019-03-16,1482
2019-03-17,1702
2019-03-18,2942
2019-03-19,3088
2019-03-20,3341
2019-03-21,3061
2019-03-22,2585
2019-03-23,1518
2019-03-24,1328
2019-03-25,1314
2019-03-26,1733
2019-03-27,1712
2019-03-28,1907
2019-03-29,1466
2019-03-30,1541
2019-03-31,1591
2019-04-01,2000
2019-04-02,2533
2019-04-03,2629
2019-04-04,1777
2019-04-05,1744
2019-04-06,1809
2019-04-07,1771
2019-04-08,2698
2019-04-09,3403
2019-04-10,2604
2019-04-11,2454
2019-04-12,1666
2019-04-13,2464
2019-04-14,2507
2019-04-15,2403
2019-04-16,1959
2019-04-17,1455
2019-04-18,1550
2019-04-19,1654
2019-04-20,1515
2019-04-21,1586
2019-04-22,1464
2019-04-23,2092
2019-04-24,2328
2019-04-25,2216
2019-04-26,1595
2019-04-27,1662
2019-04-28,1527
2019-04-29,1486
2019-04-30,1879
2019-05-01,1885
2019-05-02,1700
2019-05-03,1578
2019-05-04,1453
2019-05-05,1318
2019-05-06,1527
2019-05-07,1668
2019-05-08,2183
2019-05-09,2378
2019-05-10,2174
2019-05-11,1811
2019-05-12,1423
2019-05-13,1849
2019-05-14,2203
2019-05-15,2068
2019-05-16,1663
2019-05-17,1644
2019-05-18,1786
