date,demand
2019-08-21,1862
2019-08-22,2204
2019-08-23,2351
2019-08-24,2183
2019-08-25,2202
2019-08-26,2169
2019-08-27,2221
2019-08-28,2215
2019-08-29,2087
2019-08-30,2486
2019-08-31,2429
2019-09-01,2241
2019-09-02,2066
2019-09-03,1924
2019-09-04,1938
2019-09-05,2035
2019-09-06,2037
2019-09-07,1959
2019-09-08,1680
2019-09-09,1914
2019-09-10,1808
2019-09-11,1889
2019-09-12,1985
2019-09-13,2071
2019-09-14,2005
2019-09-15,1593
2019-09-16,1887
2019-09-17,1835
2019-09-18,2015
2019-09-19,1991
2019-09-20,2081
2019-09-21,2026
2019-09-22,1571
2019-09-23,1925
2019-09-24,1882
2019-09-25,1894
2019-09-26,1939
2019-09-27,2051
2019-09-28,2073
2019-09-29,1664
2019-09-30,1768
2019-10-01,1856
2019-10-02,1857
2019-10-03,1888
2019-10-04,1984
2019-10-05,1913
2019-10-06,1592
2019-10-07,1824
2019-10-08,1704
2019-10-09,1853
2019-10-10,1995
2019-10-11,2138
2019-10-12,1991
2019-10-13,1647
2019-10-14,1833
2019-10-15,1738
2019-10-16,1810
2019-10-17,1850
2019-10-18,2066
2019-10-19,1758
2019-10-20,1557
2019-10-21,1854
2019-10-22,1457
2019-10-23,1740
2019-10-24,2077
2019-10-25,2009
2019-10-26,1936
2019-10-27,1454
2019-10-28,1720
2019-10-29,1803
2019-10-30,1796
2019-10-31,1661
2019-11-01,1866
2019-11-02,1950
2019-11-03,1625
2019-11-04,1805
2019-11-05,1754
2019-11-06,1716
2019-11-07,2023
2019-11-08,2032
2019-11-09,1956
2019-11-10,1719
2019-11-11,1948
2019-11-12,1981
2019-11-13,1750
2019-11-14,1767
2019-11-15,1909
2019-11-16,1755
2019-11-17,1334
2019-11-18,1598
2019-11-19,1542
2019-11-20,1770
2019-11-21,1804
2019-11-22,2007
2019-11-23,1841
2019-11-24,1488
2019-11-25,1795
2019-11-26,1721
2019-11-27,1694
2019-11-28,1704
2019-11-29,3056
2019-11-30,2274
2019-12-01,1620
2019-12-02,1836
2019-12-03,1827
2019-12-04,1777
2019-12-05,1903
2019-12-06,2396
2019-12-07,2129
2019-12-08,1933
2019-12-09,1712
2019-12-10,1504
2019-12-11,1764
2019-12-12,1765
2019-12-13,1942
2019-12-14,2112
2019-12-15,1513
2019-12-16,1812
2019-12-17,1800
2019-12-18,1713
2019-12-19,1864
2019-12-20,1701
2019-12-21,2103
2019-12-22,2072
2019-12-23,2219
2019-12-24,2121
2019-12-25,2047
2019-12-26,1892
2019-12-27,1951
2019-12-28,1966
2019-12-29,1614
2019-12-30,1840
2019-12-31,1787
2020-01-01,1595
2020-01-02,1561
2020-01-03,1712
2020-01-04,1417
2020-01-05,1136
2020-01-06,1237
2020-01-07,1306
2020-01-08,1464
2020-01-09,1584
2020-01-10,1544
2020-01-11,1465
2020-01-12,853
2020-01-13,1358
2020-01-14,1358
2020-01-15,1447
2020-01-16,1385
2020-01-17,1586
2020-01-18,1538
2020-01-19,1389
2020-01-20,1410
2020-01-21,1109
2020-01-22,1213
2020-01-23,1005
2020-01-24,1532
2020-01-25,1546
2020-01-26,1344
2020-01-27,1396
2020-01-28,1326
2020-01-29,1392
2020-01-30,1437
2020-01-31,1448
2020-02-01,1477
2020-02-02,1415
2020-02-03,1561
2020-02-04,1505
2020-02-05,1315
2020-02-06,1527
2020-02-07,1622
2020-02-08,1682
2020-02-09,1442
2020-02-10,1504
2020-02-11,1478
2020-02-12,1406
2020-02-13,1489
2020-02-14,1770
2020-02-15,1807
2020-02-16,1624
2020-02-17,1488
2020-02-18,1491
2020-02-19,1444
2020-02-20,1594
2020-02-21,1625
2020-02-22,1516
2020-02-23,1239
2020-02-24,1396
2020-02-25,1450
2020-02-26,1448
2020-02-27,1590
2020-02-28,1702
2020-02-29,1510
