id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
YKZyrEhGxdVMT2RG4V,Edmonton Oilers vs Chicago Blackhawks,sports,,8887,2020-03-06 01:30:00+00:00,2020-03-06 03:58:07+00:00,,2019-06-26 07:53:04+00:00,"['ice-hockey', 'nhl', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",21481,77,88,52.0
h4eMU2S5EpmvUNmCKu,Youngstown State Penguins vs Illinois Chicago Flames,sports,,0,2020-03-06 01:00:00+00:00,2020-03-06 01:00:00+00:00,2020-03-06 02:35:00+00:00,2020-03-06 02:27:56+00:00,"['basketball', 'ncaa', 'sport']","[-87.659079, 42.000634]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'u94gMfMvci67BjMaxLiAak', 'name': 'Joseph J. Gentile Arena', 'type': 'venue', 'formatted_address': '6525 North Sheridan Road\nChicago, IL 60626\nUnited States of America'}]",4452,63,71,0.0
yf3BYG6xpZtuuYcHrA,We Came As Romans: To Plant a Seed 10 Year Anniversary Tour,community,"Doors open at 5PM. Performance begins at 5:30PM. This is an All Ages event subject to parental discretion. House of Blues Chicago is a standing room only venue, all tickets are General Admission unless otherwise stated. *All support acts are subject to change without notice.*",0,2020-03-05 23:00:00+00:00,2020-03-05 23:00:00+00:00,,2019-12-02 06:31:50+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,
TFNomQZwhDhei7hSk4,Anaheim Ducks vs Chicago Blackhawks,sports,,9507,2020-03-04 01:30:00+00:00,2020-03-04 04:08:27+00:00,,2019-06-26 07:52:56+00:00,"['ice-hockey', 'nhl', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",21345,77,88,48.0
DjA2VmcSfzw4ywnKA6,Marquette Golden Eagles vs DePaul Blue Demons,sports,,0,2020-03-04 01:00:00+00:00,2020-03-04 01:00:00+00:00,2020-03-04 02:35:00+00:00,2019-09-11 18:23:20+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",6901,67,78,0.0
PLfu32S9BJgEuywLfg,IUPUI Jaguars vs Illinois Chicago Flames,sports,,0,2020-03-04 01:00:00+00:00,2020-03-04 01:00:00+00:00,2020-03-04 02:35:00+00:00,2020-03-02 18:00:35+00:00,"['basketball', 'ncaa', 'sport']","[-87.66034, 41.877342]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'LmEyMVKizV6Mzv8kCenmep', 'name': 'Credit Union 1 Arena', 'type': 'venue', 'formatted_address': 'Chicago, IL 60607\nUnited States of America'}]",8059,68,80,0.0
ZjT3TLvFjNAFaDU3is,Pittcon,expos,,201600,2020-03-03 15:00:00+00:00,2020-03-05 23:00:00+00:00,,2019-12-15 21:19:49+00:00,"['expo', 'medical', 'technology']","[-87.61588, 41.850324]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'jLQR9S59p7FbcikvNpiesE', 'name': 'PITTCON', 'type': 'event-group', 'formatted_address': None}]",9000,69,80,54.0
Gppo9okH2jB6b4g22T,Dallas Mavericks vs Chicago Bulls,sports,,9021,2020-03-03 01:00:00+00:00,2020-03-03 03:30:21+00:00,,2019-08-13 01:07:46+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",18407,75,87,60.0
bdPTGTZLNaRwtVmRHB,Northern Iowa Panthers vs Loyola Chicago Ramblers,sports,,0,2020-03-01 19:00:00+00:00,2020-03-01 19:00:00+00:00,2020-03-01 20:35:00+00:00,2019-09-27 18:32:30+00:00,"['basketball', 'ncaa', 'sport']","[-87.659079, 42.000634]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'u94gMfMvci67BjMaxLiAak', 'name': 'Joseph J. Gentile Arena', 'type': 'venue', 'formatted_address': '6525 North Sheridan Road\nChicago, IL 60626\nUnited States of America'}]",2618,58,66,0.0
VvviTNfLKMfDVGDAx2,Pittcon - Pittsburgh Conference and Exposition on Analytical Chemistry and Applied Spectroscopy,expos,,431999,2020-03-01 06:00:00+00:00,2020-03-06 05:59:59+00:00,,2018-10-21 14:14:59+00:00,"['chemical', 'conference', 'expo']","[-87.61588, 41.850324]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'GrKkXBKwiJnKCkxwHVJhSW', 'name': 'Pittcon - Pittsburgh Conference and Exposition on Analytical Chemistry and Applied Spectroscopy', 'type': 'event-group', 'formatted_address': '2301 South Lake Shore Drive\n60616 Chicago\nUSA\nAmerica'}]",6948,67,78,58.0
