,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-03-11,1,60000,0,0,1,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0.14962593516209477
2017-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-03-15,1,6000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0.014962593516209476
2017-03-16,2,6250,0,0,1,0,0,0,1,0,0,0,0,0,250,0,0,0,6000,0,0,0,0.015586034912718203
2017-03-17,4,25250,0,1,1,0,0,0,1,1,0,0,0,19000,250,0,0,0,6000,0,0,0,0.06296758104738154
2017-03-18,3,12250,0,0,1,0,1,0,1,0,0,0,0,0,250,0,6000,0,6000,0,0,0,0.03054862842892768
2017-03-19,2,60250,0,0,1,0,1,0,0,0,0,0,0,0,250,0,60000,0,0,0,0,0,0.1502493765586035
2017-03-20,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-21,2,6250,0,1,1,0,0,0,0,0,0,0,0,6000,250,0,0,0,0,0,0,0,0.015586034912718203
2017-03-22,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-23,4,27250,1,1,2,0,0,0,0,0,0,0,6000,19000,2250,0,0,0,0,0,0,0,0.06795511221945137
2017-03-24,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0.005610972568578554
2017-03-25,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0.005610972568578554
2017-03-26,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0.005610972568578554
2017-03-27,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-28,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-29,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-30,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-03-31,3,60250,0,0,1,0,1,0,0,1,0,0,0,0,250,0,60000,0,0,0,0,0,0.1502493765586035
2017-04-01,3,12250,0,1,1,0,0,1,0,0,0,0,0,6000,250,0,0,6000,0,0,0,0,0.03054862842892768
2017-04-02,3,25250,0,0,2,0,0,1,0,0,0,0,0,0,19250,0,0,6000,0,0,0,0,0.06296758104738154
2017-04-03,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0,0,0,0,0.015586034912718203
2017-04-04,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0,0,0,0,0.015586034912718203
2017-04-05,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0,0,0,0,0.015586034912718203
2017-04-06,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0,0,0,0,0.015586034912718203
2017-04-07,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-04-08,3,79250,0,1,1,0,1,0,0,0,0,0,0,19000,250,0,60000,0,0,0,0,0,0.19763092269326682
2017-04-09,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0.0006234413965087282
2017-04-10,1,60000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0.14962593516209477
