place_id,name,type,parent_place_id,parent_name,parent_type
4323288,East Baton Rouge Parish,county,4331987,Louisiana,region
4226538,Tift County,county,4197000,Georgia,region
5228693,Hyde County,county,5769223,South Dakota,region
4732807,Somervell County,county,4736286,Texas,region
4847428,Audubon County,county,4862182,Iowa,region
4702968,Kenedy County,county,4736286,Texas,region
5262622,Menominee County,county,5279468,Wisconsin,region
4400430,New Madrid County,county,4398678,Missouri,region
4121992,Montgomery County,county,4099753,Arkansas,region
4055785,Cleburne County,county,4829764,Alabama,region
4338489,Red River Parish,county,4331987,Louisiana,region
5070443,Howard County,county,5073708,Nebraska,region
4864395,Lee County,county,4862182,Iowa,region
5784025,Utah County,county,5549030,Utah,region
4862320,Jackson County,county,4862182,Iowa,region
4788970,Tazewell County,county,6254928,Virginia,region
5525816,Martin County,county,4736286,Texas,region
4763237,City of Harrisonburg,county,6254928,Virginia,region
4262462,Ohio County,county,4921868,Indiana,region
5229622,McCook County,county,5769223,South Dakota,region
5680538,Stillwater County,county,5667009,Montana,region
4772586,Mecklenburg County,county,6254928,Virginia,region
4299939,Martin County,county,6254925,Kentucky,region
4495544,Transylvania County,county,4482348,North Carolina,region
4483525,Orange County,county,4482348,North Carolina,region
5143303,Washington County,county,5128638,State of New York,region
5150853,Columbiana County,county,5165418,Ohio,region
4263953,Rush County,county,4921868,Indiana,region
4664043,Union County,county,4662168,Tennessee,region
4164238,Miami-Dade County,county,4155751,Florida,region
5228302,Hand County,county,5769223,South Dakota,region
4782181,Roanoke County,county,6254928,Virginia,region
4500134,Yadkin County,county,4482348,North Carolina,region
5584639,Bannock County,county,5596512,Idaho,region
5674707,Rosebud County,county,5667009,Montana,region
5672061,Pondera County,county,5667009,Montana,region
5412056,Arapahoe County,county,5417618,Colorado,region
5672408,Prairie County,county,5667009,Montana,region
4267734,Atchison County,county,4273857,Kansas,region
5062096,Stutsman County,county,5690763,North Dakota,region
4339526,Saint Bernard Parish,county,4331987,Louisiana,region
4074590,Marengo County,county,4829764,Alabama,region
4181218,Bartow County,county,4197000,Georgia,region
4278457,Rush County,county,4273857,Kansas,region
4839420,New London County,county,4831725,Connecticut,region
5698593,Red Willow County,county,5073708,Nebraska,region
5234861,Chittenden County,county,5242283,Vermont,region
4190062,Crisp County,county,4197000,Georgia,region
5516581,Bailey County,county,4736286,Texas,region
4383206,Dade County,county,4398678,Missouri,region
5226553,Brown County,county,5769223,South Dakota,region
5199318,Lycoming County,county,6254927,Pennsylvania,region
5115580,Dutchess County,county,5128638,State of New York,region
4149608,Calhoun County,county,4155751,Florida,region
4530237,Beckham County,county,4544379,Oklahoma,region
5272272,Sawyer County,county,5279468,Wisconsin,region
5052059,Watonwan County,county,5037779,Minnesota,region
5513171,Storey County,county,5509151,Nevada,region
4429877,Hinds County,county,4436296,Mississippi,region
5130076,Oswego County,county,5128638,State of New York,region
5066574,Cuming County,county,5073708,Nebraska,region
4350123,Calvert County,county,4361885,Maryland,region
4880625,Wapello County,county,4862182,Iowa,region
5278054,Waukesha County,county,5279468,Wisconsin,region
4983621,York County,county,4971068,Maine,region
4912492,Stephenson County,county,4896861,Illinois,region
4376578,Benton County,county,4398678,Missouri,region
4346451,Winn Parish,county,4331987,Louisiana,region
5688020,Billings County,county,5690763,North Dakota,region
4697746,Hill County,county,4736286,Texas,region
4453232,Avery County,county,4482348,North Carolina,region
4316721,Bienville Parish,county,4331987,Louisiana,region
4207805,Marion County,county,4197000,Georgia,region
4935951,Essex County,county,6254926,Massachusetts,region
5161413,Lucas County,county,5165418,Ohio,region
4671531,Atascosa County,county,4736286,Texas,region
4300572,Mercer County,county,6254925,Kentucky,region
4345713,West Baton Rouge Parish,county,4331987,Louisiana,region
4711560,Mills County,county,4736286,Texas,region
5523240,Hockley County,county,4736286,Texas,region
5475934,Lincoln County,county,5481136,New Mexico,region
4827881,Wyoming County,county,4826850,West Virginia,region
5190669,Fulton County,county,6254927,Pennsylvania,region
4347790,Baltimore County,county,4361885,Maryland,region
4926760,Starke County,county,4921868,Indiana,region
4180816,Baker County,county,4197000,Georgia,region
5818658,Big Horn County,county,5843591,Wyoming,region
4920875,Grant County,county,4921868,Indiana,region
4890213,DuPage County,county,4896861,Illinois,region
5104759,Somerset County,county,5101760,New Jersey,region
4413630,Washington County,county,4398678,Missouri,region
5598527,Lewis County,county,5596512,Idaho,region
5178040,Allegheny County,county,6254927,Pennsylvania,region
4914710,Vermilion County,county,4896861,Illinois,region
4282035,Wyandotte County,county,4273857,Kansas,region
4859771,Hardin County,county,4862182,Iowa,region
4797875,Barbour County,county,4826850,West Virginia,region
4928184,White County,county,4921868,Indiana,region
4433190,Lee County,county,4436296,Mississippi,region
4922408,Kosciusko County,county,4921868,Indiana,region
5554074,Juneau City and Borough,county,5879092,Alaska,region
4241904,Johnson County,county,4896861,Illinois,region
5071580,Knox County,county,5073708,Nebraska,region
4282511,Anderson County,county,6254925,Kentucky,region
5270199,Saint Croix County,county,5279468,Wisconsin,region
4681782,Clay County,county,4736286,Texas,region
4530876,Blaine County,county,4544379,Oklahoma,region
4922460,LaPorte County,county,4921868,Indiana,region
5055806,Knox County,county,4398678,Missouri,region
5125630,Madison County,county,5128638,State of New York,region
5167574,Putnam County,county,5165418,Ohio,region
5665612,Meagher County,county,5667009,Montana,region
5598678,Lincoln County,county,5596512,Idaho,region
4229498,Warren County,county,4197000,Georgia,region
4225814,Tattnall County,county,4197000,Georgia,region
4805678,Fayette County,county,4826850,West Virginia,region
5585000,Bear Lake County,county,5596512,Idaho,region
4898166,Kane County,county,4896861,Illinois,region
5690448,McLean County,county,5690763,North Dakota,region
5806002,Pacific County,county,5815135,Washington,region
5515937,Texas County,county,4544379,Oklahoma,region
5364466,Lake County,county,5332921,California,region
4235793,Christian County,county,4896861,Illinois,region
4945455,Norfolk County,county,6254926,Massachusetts,region
4060563,Elmore County,county,4829764,Alabama,region
5007996,Saginaw County,county,5001836,Michigan,region
4831820,Iowa County,county,4862182,Iowa,region
4901976,Mercer County,county,4896861,Illinois,region
4382777,Crawford County,county,4398678,Missouri,region
4701059,Jim Hogg County,county,4736286,Texas,region
5692108,Sioux County,county,5690763,North Dakota,region
5603395,Payette County,county,5596512,Idaho,region
5688859,Dunn County,county,5690763,North Dakota,region
4521907,Preble County,county,5165418,Ohio,region
4293950,Hancock County,county,6254925,Kentucky,region
4601709,York County,county,4597040,South Carolina,region
5425136,Hinsdale County,county,5417618,Colorado,region
4195536,Floyd County,county,4197000,Georgia,region
4654962,Rutherford County,county,4662168,Tennessee,region
4340186,Saint Martin Parish,county,4331987,Louisiana,region
4462764,Currituck County,county,4482348,North Carolina,region
5518760,Childress County,county,4736286,Texas,region
5796126,Grays Harbor County,county,5815135,Washington,region
5398597,Stanislaus County,county,5332921,California,region
4857314,Floyd County,county,4862182,Iowa,region
4403600,Platte County,county,4398678,Missouri,region
4816620,Nicholas County,county,4826850,West Virginia,region
4149007,Broward County,county,4155751,Florida,region
4458155,Buncombe County,county,4482348,North Carolina,region
5139559,Richmond County,county,5128638,State of New York,region
4218744,Richmond County,county,4197000,Georgia,region
5188847,Erie County,county,6254927,Pennsylvania,region
5391832,San Diego County,county,5332921,California,region
5137368,Schuyler County,county,5128638,State of New York,region
5860541,Denali Borough,county,5879092,Alaska,region
5124928,Livingston County,county,5128638,State of New York,region
4340232,Saint Mary Parish,county,4331987,Louisiana,region
5657400,Hill County,county,5667009,Montana,region
5228179,Grant County,county,5769223,South Dakota,region
4207451,Madison County,county,4197000,Georgia,region
4374180,Worcester County,county,4361885,Maryland,region
4956755,Androscoggin County,county,4971068,Maine,region
4853590,Decatur County,county,4862182,Iowa,region
4096107,Walker County,county,4829764,Alabama,region
4089551,Shelby County,county,4829764,Alabama,region
5374376,Monterey County,county,5332921,California,region
4767772,King George County,county,6254928,Virginia,region
5257673,Jackson County,county,5279468,Wisconsin,region
5692064,Sheridan County,county,5690763,North Dakota,region
4411468,Texas County,county,4398678,Missouri,region
4285325,Bracken County,county,6254925,Kentucky,region
5001099,Mason County,county,5001836,Michigan,region
5248507,Chippewa County,county,5279468,Wisconsin,region
4735729,Taylor County,county,4736286,Texas,region
4691851,Fort Bend County,county,4736286,Texas,region
4853709,Delaware County,county,4862182,Iowa,region
5503780,Esmeralda County,county,5509151,Nevada,region
4256516,Decatur County,county,4921868,Indiana,region
4752002,Charles City County,county,6254928,Virginia,region
5168041,Richland County,county,5165418,Ohio,region
5417183,Clear Creek County,county,5417618,Colorado,region
4191654,Dodge County,county,4197000,Georgia,region
4861459,Ida County,county,4862182,Iowa,region
4320594,Concordia Parish,county,4331987,Louisiana,region
5520330,Donley County,county,4736286,Texas,region
4851866,Clay County,county,4862182,Iowa,region
