id,title,description,start,end,duration,category,labels,country,rank,aviation_rank,phq_attendance,geo,local_rank,location,place_hierarchies,scope,first_seen
9TCV9xoMt3wiS59fDQ,International Day of Light,,2020-05-16 00:00:00+00:00,2020-05-16 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:13+00:00
H9ExWoW4nYkyqi7L7e,International Day of Living Together in Peace,,2020-05-16 00:00:00+00:00,2020-05-16 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:11+00:00
yrVgk5AM37eV,Armed Forces Day,Armed Forces Day is a national observance in the United States on the third Saturday of May each year.,2020-05-16 00:00:00+00:00,2020-05-16 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:56+00:00
Gzl54AZWO56K,International Day of Families,"The International Day of Families is an occasion to celebrate the importance of families to people, societies and cultures around the world.",2020-05-15 00:00:00+00:00,2020-05-15 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:50+00:00
N1JpLnO57kkk,National Defense Transportation Day,National Defense Transportation Day occurs annually in the United States on the third Friday of May.,2020-05-15 00:00:00+00:00,2020-05-15 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:54+00:00
zMD0YQwW7gDr,Peace Officers Memorial Day,"Peace Officers Memorial Day is held annually in the United States on May 15 in honor of federal, state and local officers killed or disabled in the line of duty.",2020-05-15 00:00:00+00:00,2020-05-15 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:52+00:00
PxnuUPVAPkAE7aLRWE,International Nurses Day,International Nurses Day focuses on the critical contribution of nurses around the world in maintaining public health.,2020-05-12 00:00:00+00:00,2020-05-12 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-worldwide']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-09-20 00:15:55+00:00
ydqzELYede0b,Lag BaOmer,Many Jewish Americans observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.,2020-05-12 00:00:00+00:00,2020-05-12 23:59:59+00:00,86399,observances,"['holiday', 'holiday-hebrew', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:47+00:00
VZBYyKpRnWX3,Mother's Day,Mother's Day celebrates the role of mothers and mother figures.,2020-05-10 00:00:00+00:00,2020-05-10 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:40+00:00
Z9kQ2Y1QNWrb,World Migratory Bird Day,World Migratory Bird Day is observed the second weekend of May every year.,2020-05-09 00:00:00+00:00,2020-05-09 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:38+00:00
8xmY48xWdQwv,World Ovarian Cancer Day,World Ovarian Cancer Day aims to spread global awareness about ovarian cancer.,2020-05-08 00:00:00+00:00,2020-05-08 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-worldwide']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:35+00:00
E86w3eqNsVPB62Va82,World Red Cross and Red Crescent Day,,2020-05-08 00:00:00+00:00,2020-05-08 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-worldwide']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-21 00:07:40+00:00
GBwEpbXzGbl5,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,"The United Nations’ (UN) Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War is annually held over two days, from May 8-9.",2020-05-08 00:00:00+00:00,2020-05-08 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:33+00:00
XppnSZYbpVWpNtQPcS,Victory in Europe Day,,2020-05-08 00:00:00+00:00,2020-05-08 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2019-08-21 00:03:46+00:00
or1rMowKD9r4,Military Spouse Appreciation Day,Appreciate and thank all the military spouses and partners you know on Military Spouse Appreciation Day.,2020-05-08 00:00:00+00:00,2020-05-08 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-06-10 23:59:11+00:00
OKxBbe5EMXP9,National Day of Prayer,"National Day of Prayer is held on the first Thursday of May each year, inviting Americans of all faiths to pray for the country and its leaders.",2020-05-07 00:00:00+00:00,2020-05-07 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:31+00:00
jBV8gaRpjmzG5ZoWv8,Day of Vesak,Vesak Day is a Buddhist holiday that celebrates the birth of its founder. It is usually observed on the day of the full moon in May.,2020-05-07 00:00:00+00:00,2020-05-07 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2020-05-06 00:01:29+00:00
m3Rn1DreDkN7,National Nurses Day,National Nurses Day is an occasion to honor the work of nurses.,2020-05-06 00:00:00+00:00,2020-05-06 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:29+00:00
EdAtguVA2RaCypELp5,World Portuguese Language Day,,2020-05-05 00:00:00+00:00,2020-05-05 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:12+00:00
PY3DVO64wd4e,Cinco de Mayo,"'Cinco de Mayo' means ""Fifth of May"" in Spanish and is a festival of Mexican pride and heritage.",2020-05-05 00:00:00+00:00,2020-05-05 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:28+00:00
ZVPQo5Z1WeW7,World Press Freedom Day,World Press Freedom Day focuses on the importance of the freedom of the press and freedom of expression.,2020-05-03 00:00:00+00:00,2020-05-03 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:22+00:00
M6gREKpPAkkB,National Explosive Ordnance Disposal (EOD) Day,National Explosive Ordnance Disposal (EOD) Day is an occasion to remember those serving the profession of explosive ordnance disposal in the United States Armed Forces.,2020-05-02 00:00:00+00:00,2020-05-02 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:21+00:00
p3eWbK8Eba0W,World Tuna Day,World Tuna Day is a UN holiday designed to raise awareness of the global importance of tuna.,2020-05-02 00:00:00+00:00,2020-05-02 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-05-11 08:23:53+00:00
5TtqatVzRN8VjsB3sh,First Day of Asian Pacific American Heritage Month,,2020-05-01 00:00:00+00:00,2020-05-01 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-04-07 00:48:04+00:00
9ZQt4Re6w5QUePYWd4,First Day of Jewish American Heritage Month,,2020-05-01 00:00:00+00:00,2020-05-01 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-21 00:07:40+00:00
P6Ln23mgZpVL,Law Day,Law Day in the United States is annually held on May 1.,2020-05-01 00:00:00+00:00,2020-05-01 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:17+00:00
jJPNMBGMxNp9,Loyalty Day,Loyalty Day is a special day for people to reaffirm their loyalty to the United States and to recognize the heritage of American freedom.,2020-05-01 00:00:00+00:00,2020-05-01 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:19+00:00
a1eGX6wOoZYa,International Jazz Day,"International Jazz Day recognizes the historical, cultural, and educational contribution of jazz.",2020-04-30 00:00:00+00:00,2020-04-30 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:15+00:00
qVAzkanVYd7a,Yom Ha'atzmaut,"Many Jewish communities in the United States celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.",2020-04-29 00:00:00+00:00,2020-04-29 23:59:59+00:00,86399,observances,"['holiday', 'holiday-hebrew', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:12+00:00
AEOxggA9oXlg,World Day for Safety and Health at Work,The World Day for Safety and Health at Work is observed on April 28 each year.,2020-04-28 00:00:00+00:00,2020-04-28 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:10+00:00
W2dexXz1dQaL,World Intellectual Property Day,World Intellectual Property Day is annually held on April 26 to increase awareness and understanding of intellectual property worldwide.,2020-04-26 00:00:00+00:00,2020-04-26 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 22:59:01+00:00
jY9kKLyQZKXe,International Chernobyl Disaster Remembrance Day,International Chernobyl Disaster Remembrance Day is a UN holiday designed to raise awareness of the consequences of the 1986 nuclear accident.,2020-04-26 00:00:00+00:00,2020-04-26 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-05-11 08:23:51+00:00
