id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
Q9DL8nRXu3x3H4JUPF,Summer Session,,2020-06-01 05:00:00+00:00,2020-08-10 04:59:59+00:00,America/Chicago,6047999,academic,"['academic', 'academic-session']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:01+00:00,2020-10-07 16:12:51+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,in-person,not_estimated,True
TJWdw2NcJzCzrhXNUT,Summer Break,,2020-05-20 05:00:00+00:00,2020-08-26 04:59:59+00:00,America/Chicago,8467199,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:32+00:00,2020-11-10 01:48:28+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
CkYPYYPnPEALiLmKTu,Summer Break,,2020-05-16 05:00:00+00:00,2020-08-24 04:59:59+00:00,America/Chicago,8639999,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:02+00:00,2020-10-06 09:01:56+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
okEmk5MyXfEvcnsjEo,Spring Exams,,2020-05-13 05:00:00+00:00,2020-05-20 04:59:59+00:00,America/Chicago,604799,academic,"['academic', 'exam']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:30+00:00,2020-11-10 01:48:51+00:00,,,The University of Texas at Austin,-97.734057,30.284918,exam,in-person,not_estimated,True
KtmJ2b5LvLhZU4gFiE,COVID-19 Class Cancellation,All classes being conducted remotely / suspended in response to COVID-19,2020-05-02 05:00:00+00:00,2020-08-18 04:59:59+00:00,America/Chicago,9331199,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2020-04-30 08:10:49+00:00,2020-11-10 01:48:28+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
tmHfHeZtt4fSSkFdRQ,COVID-19 Class Cancellation,All classes being conducted remotely / suspended in response to COVID-19,2020-05-02 05:00:00+00:00,2020-08-10 04:59:59+00:00,America/Chicago,8639999,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2020-04-30 05:22:38+00:00,2020-10-06 08:18:01+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
Fxu3Kz5WWnLGVw26aP,Spring Break,,2020-03-14 05:00:00+00:00,2020-03-23 04:59:59+00:00,America/Chicago,777599,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:00+00:00,2020-10-07 14:59:09+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
y9PwfoL9Qdx7xcvYkn,Spring Break,,2020-03-14 05:00:00+00:00,2020-03-23 04:59:59+00:00,America/Chicago,777599,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:29+00:00,2020-11-10 01:48:41+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
62Pn4vf8GRv5ygqhaH,COVID-19 Class Cancellation,All classes being conducted remotely / suspended in response to COVID-19,2020-03-11 05:00:00+00:00,2020-05-02 04:59:59+00:00,America/Chicago,4492799,academic,"['academic', 'estimated', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2020-03-25 01:46:30+00:00,2020-11-10 01:48:45+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,estimated,False
hWnz6LovXA2UtFe5Ev,COVID-19 Class Cancellation,All classes being conducted remotely / suspended in response to COVID-19,2020-03-11 05:00:00+00:00,2020-05-02 04:59:59+00:00,America/Chicago,4492799,academic,"['academic', 'estimated', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2020-03-25 01:45:16+00:00,2020-10-06 09:20:21+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,estimated,False
