id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
3x88L2QqQpNRrP6ode,Randolph Holiday Street Market,expos,,118800,2019-08-24 14:00:00+00:00,2019-08-25 23:00:00+00:00,,2019-07-29 18:31:39+00:00,"['craft', 'expo']","[-87.661442, 41.883261]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'SfjyEzDfWvVSjwaB3ydEAF', 'name': 'Randolph Holiday Street Market', 'type': 'event-group', 'formatted_address': '1340 W Washington Blvd, Chicago, IL 60607, USA'}, {'entity_id': 'zKpfb4yaSdFmsSGXjBEz9L', 'name': 'Randolph Street Market', 'type': 'venue', 'formatted_address': '1340 West Washington Boulevard\nChicago, IL 60607\nUnited States of America'}]",20000,76,87,52
C2voyzmoW2jBmPapxC,Chicago Baby Show,expos,,118800,2019-08-24 14:00:00+00:00,2019-08-25 23:00:00+00:00,,2019-07-18 21:09:56+00:00,"['expo', 'family']","[-87.606322, 41.891694]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'dJQmxviy4G54BqSAtbyHjj', 'name': 'Navy Pier', 'type': 'venue', 'formatted_address': '600 East Grand Avenue\nChicago, IL 60611\nUnited States of America'}]",5000,64,67,45
QQQZGZBX92CJiZg5YT,Texas Rangers vs Chicago White Sox,sports,,10297,2019-08-24 00:10:00+00:00,2019-08-24 03:01:37+00:00,,2018-10-31 00:41:08+00:00,"['baseball', 'mlb', 'sport']","[-87.633752, 41.829902]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'K7HL2ji8XsSh7P2wmqiyBH', 'name': 'Guaranteed Rate Field', 'type': 'venue', 'formatted_address': '333 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",27016,79,92,64
NGRrSCPLaRz3vDjzYH,SPCS Young Professionals Conference: Chicago 2019,conferences,"We are excited to announce the 2nd Annual Young Professionals Networking Conference on Aug 23rd-25th, 2019 hosted in Downtown Chicago.
Registration is open through now through Aug 16th, 2019, please register. Space is limited!
The SPCS community is filled with knowledgeable, experienced, and driven members who can help young professionals reach their ambitious career goals. Through this networking conference, attendees will have the opportunity to build a robust professional network while also reinforcing the cultural connections that link us together.
Just as the SPCS Conventions have helped you meet new friends and connect with old, the SPCS Young Professionals Conference will help attendees meet new people to build their network in our community.
This conference will cater to those 21-35 years of age. Our goal is to create a strong professional and social network through the SPCS.
Location: Aloft Chicago Mag Mile
The registration fee is inclusive of:

2 night hotel stay at the Aloft hotel including taxes (not including incidentals) - Note: you will be paired with one other person randomly to room with unless otherwise specified during registration
Food for 3 day conference
Group activity on Saturday afternoon

If you have any questions, please contract us using the contact organizer form.
If you would to register without hotel room, please contact us using the contact organizer form.",154800,2019-08-24 00:00:00+00:00,2019-08-25 19:00:00+00:00,,2017-07-27 05:39:27+00:00,"['business', 'conference']","[-87.62083, 41.89324]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'GwzYhdXue3BAfpJc6CY3GR', 'name': 'Aloft Chicago Mag Mile', 'type': 'venue', 'formatted_address': '243 E Ontario St, Chicago, IL\nChicago, IL 60611\nUnited States of America'}]",135000,93,100,62
4jTsxrFQUAwNsx3uor,Washington Nationals vs Chicago Cubs,sports,,11499,2019-08-23 18:20:00+00:00,2019-08-23 21:31:39+00:00,,2018-10-31 18:45:07+00:00,"['baseball', 'mlb', 'sport']","[-87.655333, 41.948438]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7gWzJbvTe5if3ukAaZ5Pn3', 'name': 'Wrigley Field', 'type': 'venue', 'formatted_address': '1060 West Addison Street\nChicago, IL 60613\nUnited States of America'}]",39889,82,90,69
u2Y626XZnUA7qyToCS,"The International Gem & Jewelry Show - Chicago, IL",expos,"The International Gem & Jewelry Show - Chicago, ILAugust 23-25, 2019
Show Hours:
Friday, August 23: 12PM-6PMSaturday, August 24: 10AM-6PMSunday, August 25: 11AM-5PM 
 

Location
Renaissance Schaumburg Hotel & Convention Center1551 Thoreau Dr N, Schaumburg, IL 60173
Military Receives FREE Admission
InterGem offers free admission to all Military members (Active & Veterans) and their immediate family members. Bring your Military I.D. to the ticketing booth. 
Restrictions
No Photography Allowed.Children Under 9 Not Permitted. 
Ticket Prices  
Discounted Online Tickets | $6.00 | Save 25%! Credit Card Only.Standard Tickets | $8.00 | Cash Only. Purchase At Show.Military Members And Family* | FREE | With Military I.D.Wholesale Buyers** | FREE | Registration RequiredTeachers*** | FREE | Registration Required
 

 America's Jewelry Marketplace
Visit America’s longest running direct-to-consumer jewelry show when it visits your town! The International Gem & Jewelry Show’s world famous “Jeweler’s Market” brings wholesalers, manufacturers and designers together under one roof. Shop from rows and rows of quality gemstone, bead, jewelry and accessory dealers for incredible selection. You’ll find local jewelers, international vendors and talented artisans at every show. Whether you are shopping for jewelry making supplies or looking for the hottest trends, you’ll find what you’re looking for at the InterGem show.
SHOP DIRECT FOR INCREDIBLE PRICES AND SELECTION
Diamonds • Precious & Semi-Precious Gemstones • Fine Jewelry • Engagement Rings • Beads • Pearls • Custom Jewelry • Fashion Jewelry • Settings & Mountings • Southwestern Jewelry • Ethnic Jewelry • Men’s Jewelry • Watches • Accessories • Vintage & Estate • Chains • Findings • Jewelry Supplies",21600,2019-08-23 17:00:00+00:00,2019-08-23 23:00:00+00:00,,2019-08-12 08:38:03+00:00,"['expo', 'fashion']","[-88.040891, 42.060676]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4916288'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908052']]",America/Chicago,"[{'entity_id': 'YTxUxrXR9gEgPmLf8pGtqX', 'name': 'The International Gem & Jewelry Show - Chicago, IL', 'type': 'event-group', 'formatted_address': '1551 Thoreau Dr N, Schaumburg, IL 60173, United States'}, {'entity_id': 'J2srWihAKstn8jpFFEEHdZ', 'name': 'Renaissance Schaumburg Convention Center Hotel', 'type': 'venue', 'formatted_address': 'Thoreau Drive North\nSchaumburg, IL 60173\nUnited States of America'}]",6486,66,85,45
6znYMUZpWV7nYR7dCZ,Bridal Trunk Show Illinois,expos,,205200,2019-08-23 14:00:00+00:00,2019-08-25 23:00:00+00:00,,2019-07-20 15:53:13+00:00,"['clothing', 'expo', 'fashion']","[-87.952992, 41.849824]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4916288'], ['6295630', '6255149', '6252001', '4896861', '4890213', '4900950']]",America/Chicago,"[{'entity_id': 'ibRhDREF3dJ3e9ArcwVq37', 'name': 'Oakbrook Center', 'type': 'venue', 'formatted_address': '100 Oakbrook Center\nOak Brook, IL 60523\nUnited States of America'}]",5000,64,90,48
EtMLFUB7o3vbTL6a5s,Mamby on the beach,festivals,,172799,2019-08-23 05:00:00+00:00,2019-08-25 04:59:59+00:00,,2018-07-01 03:41:50+00:00,['festival'],"[-87.639212, 41.966384]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4896555']]",America/Chicago,"[{'entity_id': 'aK8mNzmDLCcGcMhQ3JvGVH', 'name': 'Mamby on the beach', 'type': 'event-group', 'formatted_address': None}]",15000,74,79,73
TwNNjBnnmgrGwaYxMm,Texas Rangers vs Chicago White Sox,sports,,9051,2019-08-23 00:10:00+00:00,2019-08-23 02:40:51+00:00,,2018-10-31 18:43:44+00:00,"['baseball', 'mlb', 'sport']","[-87.633752, 41.829902]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4906683']]",America/Chicago,"[{'entity_id': 'K7HL2ji8XsSh7P2wmqiyBH', 'name': 'Guaranteed Rate Field', 'type': 'venue', 'formatted_address': '333 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",18563,75,89,54
WSvEmiszv8Z6EMnBxG,San Francisco Giants vs Chicago Cubs,sports,,9071,2019-08-22 18:20:00+00:00,2019-08-22 20:51:11+00:00,,2018-11-01 00:41:31+00:00,"['baseball', 'mlb', 'sport']","[-87.655333, 41.948438]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7gWzJbvTe5if3ukAaZ5Pn3', 'name': 'Wrigley Field', 'type': 'venue', 'formatted_address': '1060 West Addison Street\nChicago, IL 60613\nUnited States of America'}]",36366,81,89,67
